Ticker,Period,Dataset,Field,Value,DataType,SourceMode
GLW,LATEST,ratio,value,-0.0111689482,ACTUAL,VNSTOCK_BRONZE
GLW,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
GLW,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
GLW,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
GLW,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
GLW,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
GLW,LATEST,balance_sheet,value,219963676493.0,ACTUAL,VNSTOCK_BRONZE
GLW,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
GLW,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
GLW,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
GLW,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
GLW,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
GLW,LATEST,cash_flow,value,9460396202.0,ACTUAL,VNSTOCK_BRONZE
