Ticker,Period,Dataset,Field,Value,DataType,SourceMode
GTH,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
GTH,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
GTH,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
GTH,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
GTH,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
GTH,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
GTH,LATEST,balance_sheet,value,231212317354.0,ACTUAL,VNSTOCK_BRONZE
GTH,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
GTH,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
GTH,LATEST,income_statement,value,142.0,ACTUAL,VNSTOCK_BRONZE
GTH,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
GTH,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
GTH,LATEST,cash_flow,value,15019876093.0,ACTUAL,VNSTOCK_BRONZE
