Ticker,Period,Dataset,Field,Value,DataType,SourceMode
GTS,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
GTS,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
GTS,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
GTS,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
GTS,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
GTS,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
GTS,LATEST,balance_sheet,value,779107968103.0,ACTUAL,VNSTOCK_BRONZE
GTS,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
GTS,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
GTS,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
GTS,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
GTS,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
GTS,LATEST,cash_flow,value,274786389300.0,ACTUAL,VNSTOCK_BRONZE
