Ticker,Period,Dataset,Field,Value,DataType,SourceMode
GVR,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
GVR,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
GVR,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
GVR,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
GVR,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
GVR,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
GVR,LATEST,balance_sheet,value,76608008756549.0,ACTUAL,VNSTOCK_BRONZE
GVR,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
GVR,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
GVR,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
GVR,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
GVR,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
GVR,LATEST,cash_flow,value,3759431541373.0,ACTUAL,VNSTOCK_BRONZE
