Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HAT,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HAT,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HAT,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HAT,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HAT,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HAT,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HAT,LATEST,balance_sheet,value,131914594675.0,ACTUAL,VNSTOCK_BRONZE
HAT,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HAT,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HAT,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
HAT,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HAT,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HAT,LATEST,cash_flow,value,33290172626.0,ACTUAL,VNSTOCK_BRONZE
