Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HBH,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HBH,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HBH,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HBH,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HBH,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HBH,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HBH,LATEST,balance_sheet,value,353351097801.0,ACTUAL,VNSTOCK_BRONZE
HBH,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HBH,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HBH,LATEST,income_statement,value,-383.0,ACTUAL,VNSTOCK_BRONZE
HBH,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HBH,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HBH,LATEST,cash_flow,value,48807018626.0,ACTUAL,VNSTOCK_BRONZE
