Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HCI,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HCI,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HCI,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HCI,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HCI,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HCI,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HCI,LATEST,balance_sheet,value,208832415002.0,ACTUAL,VNSTOCK_BRONZE
HCI,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HCI,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HCI,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
HCI,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HCI,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HCI,LATEST,cash_flow,value,20980711992.0,ACTUAL,VNSTOCK_BRONZE
