Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HDC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HDC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HDC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HDC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HDC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HDC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HDC,LATEST,balance_sheet,value,1413803915628.0,ACTUAL,VNSTOCK_BRONZE
HDC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HDC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HDC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
HDC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HDC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HDC,LATEST,cash_flow,value,101514269446.0,ACTUAL,VNSTOCK_BRONZE
