Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HHS,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HHS,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HHS,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HHS,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HHS,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HHS,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HHS,LATEST,balance_sheet,value,3441290982073.0,ACTUAL,VNSTOCK_BRONZE
HHS,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HHS,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HHS,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
HHS,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HHS,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HHS,LATEST,cash_flow,value,346780524492.0,ACTUAL,VNSTOCK_BRONZE
