Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HHV,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HHV,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HHV,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HHV,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HHV,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HHV,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HHV,LATEST,balance_sheet,value,28498386572350.0,ACTUAL,VNSTOCK_BRONZE
HHV,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HHV,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HHV,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
HHV,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HHV,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HHV,LATEST,cash_flow,value,812493428121.0,ACTUAL,VNSTOCK_BRONZE
