Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HJC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HJC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HJC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HJC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HJC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HJC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HJC,LATEST,balance_sheet,value,253388537916.0,ACTUAL,VNSTOCK_BRONZE
HJC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HJC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HJC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
HJC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HJC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HJC,LATEST,cash_flow,value,14727700272.0,ACTUAL,VNSTOCK_BRONZE
