Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HKB,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HKB,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HKB,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HKB,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HKB,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HKB,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HKB,LATEST,balance_sheet,value,736834866540.0,ACTUAL,VNSTOCK_BRONZE
HKB,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HKB,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HKB,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
HKB,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HKB,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HKB,LATEST,cash_flow,value,311809923.0,ACTUAL,VNSTOCK_BRONZE
