Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HLA,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HLA,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HLA,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HLA,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HLA,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HLA,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HLA,LATEST,balance_sheet,value,296903362727.0,ACTUAL,VNSTOCK_BRONZE
HLA,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HLA,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HLA,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
HLA,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HLA,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HLA,LATEST,cash_flow,value,521285517.0,ACTUAL,VNSTOCK_BRONZE
