Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HLR,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HLR,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HLR,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HLR,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HLR,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HLR,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HLR,LATEST,balance_sheet,value,52393524811.0,ACTUAL,VNSTOCK_BRONZE
HLR,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HLR,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HLR,LATEST,income_statement,value,1045.0,ACTUAL,VNSTOCK_BRONZE
HLR,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HLR,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HLR,LATEST,cash_flow,value,4766609604.0,ACTUAL,VNSTOCK_BRONZE
