Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HNG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HNG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HNG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HNG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HNG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HNG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HNG,LATEST,balance_sheet,value,28825479547000.0,ACTUAL,VNSTOCK_BRONZE
HNG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HNG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HNG,LATEST,income_statement,value,18.0,ACTUAL,VNSTOCK_BRONZE
HNG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HNG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HNG,LATEST,cash_flow,value,48520598000.0,ACTUAL,VNSTOCK_BRONZE
