Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HPM,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HPM,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HPM,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HPM,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HPM,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HPM,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HPM,LATEST,balance_sheet,value,46438465194.0,ACTUAL,VNSTOCK_BRONZE
HPM,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HPM,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HPM,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
HPM,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HPM,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HPM,LATEST,cash_flow,value,79894662.0,ACTUAL,VNSTOCK_BRONZE
