Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HPP,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HPP,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HPP,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HPP,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HPP,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HPP,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HPP,LATEST,balance_sheet,value,620816922779.0,ACTUAL,VNSTOCK_BRONZE
HPP,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HPP,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HPP,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
HPP,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HPP,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HPP,LATEST,cash_flow,value,8083603176.0,ACTUAL,VNSTOCK_BRONZE
