Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HPW,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HPW,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HPW,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HPW,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HPW,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HPW,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HPW,LATEST,balance_sheet,value,1383493650760.0,ACTUAL,VNSTOCK_BRONZE
HPW,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HPW,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HPW,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
HPW,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HPW,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HPW,LATEST,cash_flow,value,108226119712.0,ACTUAL,VNSTOCK_BRONZE
