Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HRT,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HRT,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HRT,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HRT,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HRT,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HRT,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HRT,LATEST,balance_sheet,value,1535186437209.0,ACTUAL,VNSTOCK_BRONZE
HRT,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HRT,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HRT,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
HRT,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HRT,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HRT,LATEST,cash_flow,value,217495310080.0,ACTUAL,VNSTOCK_BRONZE
