Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HSG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HSG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HSG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HSG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HSG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HSG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HSG,LATEST,balance_sheet,value,23747801489024.0,ACTUAL,VNSTOCK_BRONZE
HSG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HSG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HSG,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
HSG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HSG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HSG,LATEST,cash_flow,value,231709423161.0,ACTUAL,VNSTOCK_BRONZE
