Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HTR,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HTR,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HTR,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HTR,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HTR,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HTR,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HTR,LATEST,balance_sheet,value,61886829933.0,ACTUAL,VNSTOCK_BRONZE
HTR,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HTR,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HTR,LATEST,income_statement,value,1000.0,ACTUAL,VNSTOCK_BRONZE
HTR,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HTR,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HTR,LATEST,cash_flow,value,4994803327.0,ACTUAL,VNSTOCK_BRONZE
