Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HUB,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HUB,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HUB,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HUB,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HUB,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HUB,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HUB,LATEST,balance_sheet,value,643958222276.0,ACTUAL,VNSTOCK_BRONZE
HUB,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HUB,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HUB,LATEST,income_statement,value,736.0,ACTUAL,VNSTOCK_BRONZE
HUB,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HUB,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HUB,LATEST,cash_flow,value,139447720346.0,ACTUAL,VNSTOCK_BRONZE
