Ticker,Period,Dataset,Field,Value,DataType,SourceMode
HVG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
HVG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
HVG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
HVG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
HVG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
HVG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
HVG,LATEST,balance_sheet,value,10715976088586.0,ACTUAL,VNSTOCK_BRONZE
HVG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
HVG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
HVG,LATEST,income_statement,value,-1775.0,ACTUAL,VNSTOCK_BRONZE
HVG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
HVG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
HVG,LATEST,cash_flow,value,174735679490.0,ACTUAL,VNSTOCK_BRONZE
