Ticker,Period,Dataset,Field,Value,DataType,SourceMode
IDC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
IDC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
IDC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
IDC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
IDC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
IDC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
IDC,LATEST,balance_sheet,value,13999193339317.0,ACTUAL,VNSTOCK_BRONZE
IDC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
IDC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
IDC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
IDC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
IDC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
IDC,LATEST,cash_flow,value,1947027640033.0,ACTUAL,VNSTOCK_BRONZE
