Ticker,Period,Dataset,Field,Value,DataType,SourceMode
IPA,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
IPA,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
IPA,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
IPA,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
IPA,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
IPA,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
IPA,LATEST,balance_sheet,value,2774454856667.0,ACTUAL,VNSTOCK_BRONZE
IPA,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
IPA,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
IPA,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
IPA,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
IPA,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
IPA,LATEST,cash_flow,value,66879091749.0,ACTUAL,VNSTOCK_BRONZE
