Ticker,Period,Dataset,Field,Value,DataType,SourceMode
IST,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
IST,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
IST,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
IST,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
IST,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
IST,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
IST,LATEST,balance_sheet,value,344412849337.0,ACTUAL,VNSTOCK_BRONZE
IST,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
IST,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
IST,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
IST,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
IST,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
IST,LATEST,cash_flow,value,24577095989.0,ACTUAL,VNSTOCK_BRONZE
