Ticker,Period,Dataset,Field,Value,DataType,SourceMode
KBC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
KBC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
KBC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
KBC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
KBC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
KBC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
KBC,LATEST,balance_sheet,value,16109979843601.0,ACTUAL,VNSTOCK_BRONZE
KBC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
KBC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
KBC,LATEST,income_statement,value,444.0,ACTUAL,VNSTOCK_BRONZE
KBC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
KBC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
KBC,LATEST,cash_flow,value,329599493963.0,ACTUAL,VNSTOCK_BRONZE
