Ticker,Period,Dataset,Field,Value,DataType,SourceMode
KHA,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
KHA,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
KHA,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
KHA,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
KHA,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
KHA,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
KHA,LATEST,balance_sheet,value,476697392282.0,ACTUAL,VNSTOCK_BRONZE
KHA,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
KHA,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
KHA,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
KHA,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
KHA,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
KHA,LATEST,cash_flow,value,139629875012.0,ACTUAL,VNSTOCK_BRONZE
