Ticker,Period,Dataset,Field,Value,DataType,SourceMode
KHS,LATEST,ratio,value,0.0260858507,ACTUAL,VNSTOCK_BRONZE
KHS,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
KHS,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
KHS,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
KHS,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
KHS,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
KHS,LATEST,balance_sheet,value,490423414800.0,ACTUAL,VNSTOCK_BRONZE
KHS,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
KHS,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
KHS,LATEST,income_statement,value,734.0,ACTUAL,VNSTOCK_BRONZE
KHS,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
KHS,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
KHS,LATEST,cash_flow,value,26297730209.0,ACTUAL,VNSTOCK_BRONZE
