Ticker,Period,Dataset,Field,Value,DataType,SourceMode
KSV,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
KSV,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
KSV,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
KSV,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
KSV,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
KSV,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
KSV,LATEST,balance_sheet,value,7316103090283.0,ACTUAL,VNSTOCK_BRONZE
KSV,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
KSV,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
KSV,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
KSV,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
KSV,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
KSV,LATEST,cash_flow,value,223701706916.0,ACTUAL,VNSTOCK_BRONZE
