Ticker,Period,Dataset,Field,Value,DataType,SourceMode
LBC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
LBC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
LBC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
LBC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
LBC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
LBC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
LBC,LATEST,balance_sheet,value,45790321638.0,ACTUAL,VNSTOCK_BRONZE
LBC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
LBC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
LBC,LATEST,income_statement,value,2472.0,ACTUAL,VNSTOCK_BRONZE
LBC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
LBC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
LBC,LATEST,cash_flow,value,3151511581.0,ACTUAL,VNSTOCK_BRONZE
