Ticker,Period,Dataset,Field,Value,DataType,SourceMode
LEC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
LEC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
LEC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
LEC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
LEC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
LEC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
LEC,LATEST,balance_sheet,value,1025989698858.0,ACTUAL,VNSTOCK_BRONZE
LEC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
LEC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
LEC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
LEC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
LEC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
LEC,LATEST,cash_flow,value,19881607736.0,ACTUAL,VNSTOCK_BRONZE
