Ticker,Period,Dataset,Field,Value,DataType,SourceMode
LMH,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
LMH,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
LMH,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
LMH,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
LMH,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
LMH,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
LMH,LATEST,balance_sheet,value,1162938155643.0,ACTUAL,VNSTOCK_BRONZE
LMH,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
LMH,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
LMH,LATEST,income_statement,value,280.0,ACTUAL,VNSTOCK_BRONZE
LMH,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
LMH,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
LMH,LATEST,cash_flow,value,21522764632.0,ACTUAL,VNSTOCK_BRONZE
