Ticker,Period,Dataset,Field,Value,DataType,SourceMode
LUT,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
LUT,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
LUT,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
LUT,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
LUT,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
LUT,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
LUT,LATEST,balance_sheet,value,957541039459.0,ACTUAL,VNSTOCK_BRONZE
LUT,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
LUT,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
LUT,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
LUT,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
LUT,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
LUT,LATEST,cash_flow,value,8283006847.0,ACTUAL,VNSTOCK_BRONZE
