Ticker,Period,Dataset,Field,Value,DataType,SourceMode
MAC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
MAC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
MAC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
MAC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
MAC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
MAC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
MAC,LATEST,balance_sheet,value,239974015106.0,ACTUAL,VNSTOCK_BRONZE
MAC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
MAC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
MAC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
MAC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
MAC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
MAC,LATEST,cash_flow,value,12212073308.0,ACTUAL,VNSTOCK_BRONZE
