Ticker,Period,Dataset,Field,Value,DataType,SourceMode
MCH,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
MCH,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
MCH,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
MCH,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
MCH,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
MCH,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
MCH,LATEST,balance_sheet,value,16335034218727.0,ACTUAL,VNSTOCK_BRONZE
MCH,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
MCH,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
MCH,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
MCH,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
MCH,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
MCH,LATEST,cash_flow,value,2330773209999.0,ACTUAL,VNSTOCK_BRONZE
