Ticker,Period,Dataset,Field,Value,DataType,SourceMode
MTX,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
MTX,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
MTX,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
MTX,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
MTX,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
MTX,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
MTX,LATEST,balance_sheet,value,14743238295.0,ACTUAL,VNSTOCK_BRONZE
MTX,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
MTX,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
MTX,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
MTX,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
MTX,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
MTX,LATEST,cash_flow,value,2678216800.0,ACTUAL,VNSTOCK_BRONZE
