Ticker,Period,Dataset,Field,Value,DataType,SourceMode
MVN,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
MVN,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
MVN,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
MVN,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
MVN,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
MVN,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
MVN,LATEST,balance_sheet,value,28479238222206.0,ACTUAL,VNSTOCK_BRONZE
MVN,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
MVN,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
MVN,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
MVN,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
MVN,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
MVN,LATEST,cash_flow,value,2505036233485.0,ACTUAL,VNSTOCK_BRONZE
