Ticker,Period,Dataset,Field,Value,DataType,SourceMode
NAC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
NAC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
NAC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
NAC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
NAC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
NAC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
NAC,LATEST,balance_sheet,value,170129870056.0,ACTUAL,VNSTOCK_BRONZE
NAC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
NAC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
NAC,LATEST,income_statement,value,2128.0,ACTUAL,VNSTOCK_BRONZE
NAC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
NAC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
NAC,LATEST,cash_flow,value,31720090857.0,ACTUAL,VNSTOCK_BRONZE
