Ticker,Period,Dataset,Field,Value,DataType,SourceMode
NBW,LATEST,ratio,value,0.0199488539,ACTUAL,VNSTOCK_BRONZE
NBW,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
NBW,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
NBW,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
NBW,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
NBW,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
NBW,LATEST,balance_sheet,value,258540326895.0,ACTUAL,VNSTOCK_BRONZE
NBW,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
NBW,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
NBW,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
NBW,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
NBW,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
NBW,LATEST,cash_flow,value,9258703165.0,ACTUAL,VNSTOCK_BRONZE
