Ticker,Period,Dataset,Field,Value,DataType,SourceMode
NTF,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
NTF,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
NTF,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
NTF,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
NTF,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
NTF,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
NTF,LATEST,balance_sheet,value,218457110887.0,ACTUAL,VNSTOCK_BRONZE
NTF,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
NTF,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
NTF,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
NTF,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
NTF,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
NTF,LATEST,cash_flow,value,99792479465.0,ACTUAL,VNSTOCK_BRONZE
