Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PEN,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PEN,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PEN,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PEN,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PEN,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PEN,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PEN,LATEST,balance_sheet,value,304074898323.0,ACTUAL,VNSTOCK_BRONZE
PEN,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PEN,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PEN,LATEST,income_statement,value,-545.0,ACTUAL,VNSTOCK_BRONZE
PEN,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PEN,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PEN,LATEST,cash_flow,value,9870434023.0,ACTUAL,VNSTOCK_BRONZE
