Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PGC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PGC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PGC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PGC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PGC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PGC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PGC,LATEST,balance_sheet,value,2191383926390.0,ACTUAL,VNSTOCK_BRONZE
PGC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PGC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PGC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PGC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PGC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PGC,LATEST,cash_flow,value,48597927781.0,ACTUAL,VNSTOCK_BRONZE
