Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PGI,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PGI,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PGI,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PGI,LATEST,balance_sheet,order,121.0,ACTUAL,VNSTOCK_BRONZE
PGI,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PGI,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PGI,LATEST,balance_sheet,value,5000720437596.0,ACTUAL,VNSTOCK_BRONZE
PGI,LATEST,income_statement,order,84.0,ACTUAL,VNSTOCK_BRONZE
PGI,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PGI,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PGI,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PGI,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PGI,LATEST,cash_flow,value,125939115214.0,ACTUAL,VNSTOCK_BRONZE
