Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PHN,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PHN,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PHN,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PHN,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PHN,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PHN,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PHN,LATEST,balance_sheet,value,137859612717.0,ACTUAL,VNSTOCK_BRONZE
PHN,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PHN,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PHN,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PHN,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PHN,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PHN,LATEST,cash_flow,value,13769420574.0,ACTUAL,VNSTOCK_BRONZE
