Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PMC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PMC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PMC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PMC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PMC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PMC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PMC,LATEST,balance_sheet,value,322321455943.0,ACTUAL,VNSTOCK_BRONZE
PMC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PMC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PMC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PMC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PMC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PMC,LATEST,cash_flow,value,140129134802.0,ACTUAL,VNSTOCK_BRONZE
