Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PNT,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PNT,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PNT,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PNT,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PNT,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PNT,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PNT,LATEST,balance_sheet,value,282747038013.0,ACTUAL,VNSTOCK_BRONZE
PNT,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PNT,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PNT,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PNT,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PNT,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PNT,LATEST,cash_flow,value,19114155787.0,ACTUAL,VNSTOCK_BRONZE
