Ticker,Period,Dataset,Field,Value,DataType,SourceMode
POS,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
POS,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
POS,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
POS,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
POS,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
POS,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
POS,LATEST,balance_sheet,value,1218322400639.0,ACTUAL,VNSTOCK_BRONZE
POS,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
POS,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
POS,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
POS,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
POS,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
POS,LATEST,cash_flow,value,112184903371.0,ACTUAL,VNSTOCK_BRONZE
