Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PQN,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PQN,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PQN,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PQN,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PQN,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PQN,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PQN,LATEST,balance_sheet,value,755433535131.0,ACTUAL,VNSTOCK_BRONZE
PQN,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PQN,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PQN,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PQN,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PQN,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PQN,LATEST,cash_flow,value,111975265925.0,ACTUAL,VNSTOCK_BRONZE
