Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PRO,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PRO,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PRO,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PRO,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PRO,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PRO,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PRO,LATEST,balance_sheet,value,54046661801.0,ACTUAL,VNSTOCK_BRONZE
PRO,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PRO,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PRO,LATEST,income_statement,value,1287.0,ACTUAL,VNSTOCK_BRONZE
PRO,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PRO,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PRO,LATEST,cash_flow,value,2727668271.0,ACTUAL,VNSTOCK_BRONZE
