Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PSB,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PSB,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PSB,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PSB,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PSB,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PSB,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PSB,LATEST,balance_sheet,value,804118219587.0,ACTUAL,VNSTOCK_BRONZE
PSB,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PSB,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PSB,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PSB,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PSB,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PSB,LATEST,cash_flow,value,5136180525.0,ACTUAL,VNSTOCK_BRONZE
