Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PSW,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PSW,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PSW,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PSW,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PSW,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PSW,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PSW,LATEST,balance_sheet,value,289019291110.0,ACTUAL,VNSTOCK_BRONZE
PSW,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PSW,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PSW,LATEST,income_statement,value,107.0,ACTUAL,VNSTOCK_BRONZE
PSW,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PSW,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PSW,LATEST,cash_flow,value,57465239783.0,ACTUAL,VNSTOCK_BRONZE
