Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PTB,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PTB,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PTB,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PTB,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PTB,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTB,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PTB,LATEST,balance_sheet,value,2612952108795.0,ACTUAL,VNSTOCK_BRONZE
PTB,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PTB,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTB,LATEST,income_statement,value,2256.0,ACTUAL,VNSTOCK_BRONZE
PTB,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PTB,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTB,LATEST,cash_flow,value,55368589866.0,ACTUAL,VNSTOCK_BRONZE
