Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PTC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PTC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PTC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PTC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PTC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PTC,LATEST,balance_sheet,value,529034586809.0,ACTUAL,VNSTOCK_BRONZE
PTC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PTC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PTC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PTC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTC,LATEST,cash_flow,value,10838280002.0,ACTUAL,VNSTOCK_BRONZE
