Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PTE,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PTE,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PTE,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PTE,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PTE,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTE,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PTE,LATEST,balance_sheet,value,513519969044.0,ACTUAL,VNSTOCK_BRONZE
PTE,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PTE,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTE,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PTE,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PTE,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTE,LATEST,cash_flow,value,1775680625.0,ACTUAL,VNSTOCK_BRONZE
