Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PTL,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PTL,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PTL,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PTL,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PTL,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTL,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PTL,LATEST,balance_sheet,value,1313050271570.0,ACTUAL,VNSTOCK_BRONZE
PTL,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PTL,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTL,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PTL,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PTL,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTL,LATEST,cash_flow,value,273600466423.0,ACTUAL,VNSTOCK_BRONZE
