Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PTS,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PTS,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PTS,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PTS,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PTS,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTS,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PTS,LATEST,balance_sheet,value,179765951594.0,ACTUAL,VNSTOCK_BRONZE
PTS,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PTS,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTS,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PTS,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PTS,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PTS,LATEST,cash_flow,value,19116250709.0,ACTUAL,VNSTOCK_BRONZE
