Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PVC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PVC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PVC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PVC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PVC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PVC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PVC,LATEST,balance_sheet,value,1636129101255.0,ACTUAL,VNSTOCK_BRONZE
PVC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PVC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PVC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PVC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PVC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PVC,LATEST,cash_flow,value,356355233757.0,ACTUAL,VNSTOCK_BRONZE
