Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PVV,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PVV,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PVV,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PVV,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PVV,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PVV,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PVV,LATEST,balance_sheet,value,1099786274600.0,ACTUAL,VNSTOCK_BRONZE
PVV,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PVV,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PVV,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PVV,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PVV,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PVV,LATEST,cash_flow,value,8897433069.0,ACTUAL,VNSTOCK_BRONZE
