Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PXA,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PXA,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PXA,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PXA,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PXA,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PXA,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PXA,LATEST,balance_sheet,value,145456617449.0,ACTUAL,VNSTOCK_BRONZE
PXA,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PXA,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PXA,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PXA,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PXA,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PXA,LATEST,cash_flow,value,221465598.0,ACTUAL,VNSTOCK_BRONZE
