Ticker,Period,Dataset,Field,Value,DataType,SourceMode
PXC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
PXC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
PXC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
PXC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
PXC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
PXC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
PXC,LATEST,balance_sheet,value,258551001629.0,ACTUAL,VNSTOCK_BRONZE
PXC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
PXC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
PXC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
PXC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
PXC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
PXC,LATEST,cash_flow,value,5315982725.0,ACTUAL,VNSTOCK_BRONZE
