Ticker,Period,Dataset,Field,Value,DataType,SourceMode
QSP,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
QSP,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
QSP,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
QSP,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
QSP,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
QSP,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
QSP,LATEST,balance_sheet,value,179697657761.0,ACTUAL,VNSTOCK_BRONZE
QSP,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
QSP,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
QSP,LATEST,income_statement,value,2184.0,ACTUAL,VNSTOCK_BRONZE
QSP,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
QSP,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
QSP,LATEST,cash_flow,value,8912358639.0,ACTUAL,VNSTOCK_BRONZE
