Ticker,Period,Dataset,Field,Value,DataType,SourceMode
RGC,LATEST,ratio,value,-0.350331327,ACTUAL,VNSTOCK_BRONZE
RGC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
RGC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
RGC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
RGC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
RGC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
RGC,LATEST,balance_sheet,value,898449021128.0,ACTUAL,VNSTOCK_BRONZE
RGC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
RGC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
RGC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
RGC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
RGC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
RGC,LATEST,cash_flow,value,18918007884.0,ACTUAL,VNSTOCK_BRONZE
