Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SAP,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SAP,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SAP,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SAP,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SAP,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SAP,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SAP,LATEST,balance_sheet,value,12101996214.0,ACTUAL,VNSTOCK_BRONZE
SAP,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SAP,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SAP,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SAP,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SAP,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SAP,LATEST,cash_flow,value,322955340.0,ACTUAL,VNSTOCK_BRONZE
